site_id,total_volume,site_name,absolute_growth,growth_pct,cv,volume_score,growth_score,stability_score,commercial_value_score,rank
3052,468472268,BELL / MELVILLE / TURNER,187291.5,5.983152333163941,0.12010758151757141,0.9951660361496427,0.837536780159731,0.9275580395528805,94.22371228328123,1
2985,431212288,PRINCES HIGHWAY EAST NEAR CLOSEBURN,203205.25,6.7740709575600855,0.12150251364791238,0.9936948297604036,0.8469945355191257,0.9180997420464316,94.19007386572899,2
3088,339541628,POINT COOK NEAR JAMIESON,169419.0,8.023850359501434,0.10995845526902118,0.9762505254308533,0.8253467843631778,0.9767841788478074,93.86313208473254,3
2627,338248403,WESTERN HIGHWAY / WRR,594118.8333333335,31.108263290472042,0.13609460901508127,0.9760403530895334,0.9665825977301387,0.7702063628546861,93.25091162027152,4
3516,494139005,BULLA NEAR HOLYROOD,231999.5,7.10737380899535,0.13149922655859667,0.9972677595628415,0.8627574611181169,0.8198624247635425,92.81591179918006,5
2816,491145042,DIAMOND CREEK RD / GREENSBOROUGH HIGHWAY / CIVIC,247769.16666666698,7.729083236566971,0.1340793333123836,0.9968474148802018,0.8720050441361917,0.7942820292347378,92.51237450651065,6
2617,299558196,WESTERN HIGHWAY NEAR MARCELLIN,166695.83333333326,8.510200008738442,0.11927498769412949,0.9621689785624212,0.8224043715846995,0.9350816852966466,92.18103681648358,7
4711,381289235,SWANSTON / CEMETERY EAST / COLLEGE,217452.25,8.948064011018205,0.13094807912916615,0.9869693148381673,0.8532997057587222,0.8250214961306965,92.1162348826812,8
1120,255132963,DANDENONG SOUTHERN BYPASS / HAMMOND,253842.58333333326,16.585037607080796,0.11529144278502394,0.9272803699033207,0.8751576292559899,0.955932932072227,91.99801971752693,9
2194,281421926,SOMERTON / PASCOE VALE / DAVID MUNROE,161973.33333333326,9.094864715244325,0.1150903522796255,0.9495586380832283,0.8173602353930223,0.9567927773000859,91.79558652540484,10
849,548183949,CANTERBURY / MITCHAM / BORONIA,981530.1666666665,33.24428290280562,0.15782814628971348,0.9993694829760403,0.9907524169819252,0.5816852966466036,91.36783792116242,11
2167,252398567,SYDNEY ROAD / BOLINDA,222726.75,14.311435639847925,0.11621012765610281,0.9247583018074821,0.8566624632198403,0.9518486672398968,91.31524152470546,12
5007,277809989,CORIO-WAURN / BACCHUS MARSH / COX / STREET GEORGES,183889.5,10.540288454892627,0.122244017031002,0.9461958806221101,0.8352248844052123,0.9101461736887361,91.12431901812108,13
2169,324079205,,280068.41666666674,13.555779619443472,0.13669116138852194,0.9705758722152165,0.8867171080285834,0.7620378331900258,90.79035733635202,14
2157,389651351,SYDNEY / MAHONEYS / CAMP,374024.25,16.781076928322825,0.1473818135105795,0.9888608659100462,0.919714165615805,0.6642304385210662,90.664810535869,15
569,258684448,STH GIPPS'D HIGHWAY / MCDOWALL / COMMERCIAL,158182.91666666674,9.588653655927573,0.11514649358957829,0.930222782681799,0.8133669609079445,0.9565778159931212,90.62798339006,16
256,335502364,STH GIPPS'D HIGHWAY / THOMPSONS,588756.1666666667,30.018610918943978,0.15047037558577192,0.9747793190416141,0.9659520807061791,0.6410146173688736,90.58195691232072,17
2017,317561062,STREETUD / BERGINS,76287.16666666651,3.564500650194697,0.11190456242677081,0.9680538041193779,0.7154266498528794,0.9701203783319002,90.53103303952578,18
737,298774325,MOOROODUC / GOLF LINKS / TOWERHILL,167136.66666666674,8.504667487744788,0.1290566239003758,0.9615384615384616,0.823245060949979,0.8460877042132416,90.3874959926297,19
2173,416360476,SYDNEY / WRR,107192.33333333349,4.017780826312105,0.12973715445850678,0.9924337957124842,0.7568306010928961,0.8377042132416165,90.25870805634138,20
1267,252358211,FRANKSTON-DANDENONG / PENLINK,189516.5,12.45117213965933,0.12129764364618667,0.9245481294661623,0.8392181588902901,0.9198194325021496,90.22698974293918,21
2614,387494577,WESTERN HIGHWAY / STATION,624353.6666666665,25.536497801792237,0.15815275895220304,0.9884405212274064,0.9707860445565364,0.5791057609630266,90.21599500068132,22
2322,296065115,NEPEAN / SOUTH,292731.3333333335,15.27695364816738,0.13744001683133902,0.9590163934426229,0.8919714165615805,0.7555889939810834,90.15696693300545,23
3693,335728570,WARRIGAL / NORTH,348484.24999999977,17.392704167009438,0.1455006305490158,0.9751996637242539,0.9113072719630096,0.680567497850387,90.03001326091695,24
2422,374935276,PRINCES HIGHWAY EAST / MURRUMBEENA / BELGRAVE,432524.4166666665,18.58764705347274,0.15441193412641396,0.9850777637662883,0.937578814627995,0.6107050730868444,89.83284883458263,25
